Plaats,Volgnummer,Puntnaam,Puntnummer,Omschrijving,datum,richting vanuit,X,Y,Picture,Opmerkingen,Personen,Voertuigen,Nakijken
Graauw,2,Graauw 1,559204,R.K.K. Graauw,14 juli 1908,ZW,65605.87,371905.9,Graauw%2002.jpg,,,,
Gracht,1,,620310,R.K.K. Gracht,1976,,200147.97,318132.2,Gracht%2001.jpg,,,,
Gracht,2,,620310,R.K.K. Gracht,1976,,200147.97,318132.2,Gracht%2002.jpg,,,,
Gracht,3,Kerkrade 16,620…,R.K.K. O.L.V van Lourdes Gracht,,,200150.24,318129.05,Kerkrade%2001.jpg,Gracht,,,
Grafhorst,1,IJsselmuiden 5,219...,School Grafhorst,1939,ZO,192036.29,510763.93,Grafhorst%2001.jpg,,,,
Graft,1,Graft 2,199312,H.K. Graft,2 juli 1936,ZO,117351.15,508472.67,Graft%2001.jpg,,,,
Gramsbergen,1,Gramsbergen 1,220203,H.K. Gramsbergn,,,242127.08,514545.67,Gramsbergen%2001.jpg,,,,
Gramsbergen,2,Gramsbergen 1,220203,H.K. Gramsbergn,08-Sep-11,N,242127.08,514545.67,Gramsbergen%2002.jpg,,,,
Grashoek,1,,589332,R.K.K. Grashoek,1974,,193528.66,374794.12,Grashoek%2001.jpg,,,,
Grashoek,2,,589332,R.K.K. Grashoek,1974,,193528.66,374794.12,Grashoek%2002.jpg,,,,
Grathem,1,Grathem 3,589311,R.K.K. Grathem,31 juli 1956,ZO,187976.3,355844.67,Grathem%2001.jpg,,,,
Grathem,2,Grathem 3,589311,R.K.K. Grathem,1948,NO,187976.3,355844.67,Grathem%2002.jpg,,,,
Grave,1,,450327,R.K.K. Grave,1974,,179382.78,419077.93,Grave%2001.jpg,,,,
Grave,2,,450327,R.K.K. Grave,1974,,179382.78,419077.93,Grave%2002.jpg,,,,
Grave,3,Mariëndaal,450209,Huize 'De Binckhof' ,,,177572.42,417524.89,Grave%2003.jpg,,,,
Grave,4,Mariëndaal,450209,Huize 'De Binckhof' ,1 juli 1927,ZW,177572.42,417524.89,Grave%2004.jpg,,,,
Grave,5,Mariëndaal,450209,Huize 'De Binckhof' ,1 juli 1927,ZW,177572.42,417524.89,Grave%2005.jpg,,,,
Grebbe,1,Rhenen 7,390334,RD-steen Grebbe,1941,ZO,170287.72,440659.5,Grebbe%2001.jpg,,,,
Grevenbicht,1,Grevenbicht 4,609347,R.K.K. Grevenbicht,10 juni 1932,ZO,182213.86,339121.14,Grevenbicht%2001.jpg,,,,
